section;material;question;no;type;option1;option2;option3;option4;option5;option6;option7;explanation;answer1;answer2;answer3;answer4;score1;score2;score3;score4
;;<p>Your network contains an Active Directory domain named contoso.com. The domain functional level is Windows Server 2012 R2.</p><p>Your company hires a new security administrator to manage sensitive user data. You create a user account named Security1 for the security administrator.</p><p>You need to ensure that the password for Security1 has at least 12 characters and is modified every 10 days. The solution must apply to Security1 only.</p><p>Which tool should you use?</p>;;;Dsadd quota;Dsmod;Active Directory Administrative Center;Dsacls;Dsamain;Active Directory Users and Computers;Ntdsutil;;C;;;;1.0;;;
;;<p>Your network contains an Active Directory domain. All client computers run Windows 10.</p><p>A client computer named Computer1 was in storage for five months and was unused during that time. You attempt to sign in to the domain from Computer1 and receive an error message.</p><p>You need to ensure that you can sign in to the domain from Computer1.</p><p>What should you do?</p>;;;Unjoin Computer1 from the domain, and then join the computer to the domain.;From Active Directory Administrative Center, reset the computer account of Computer1.;From Active Directory Administrative Center, disable Computer1, and then enable the computer account of Computer1.;From Active Directory Users and Computers, run the Delegation of Control Wizard.;From Windows PowerShell on Computer1, run the Restore-Computer cmdlet;From a command prompt, run the Systemreset.exe command;From Windows PowerShell on Computer1, run the Set-ADComputer cmdlet ;<a href='https://mcpmag.com/articles/2015/03/05/rejoin-a-computer-from-a-domain.aspx'>Link</a>;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains two domains named contoso.com and fabrikam.com. The functional level of the forest and the domains is Windows Server 2008 R2.</p><p>You have a global group named Group1 in the contoso.com domain. Group1 contains the user accounts in the contoso.com.</p><p>You need to ensure that you can add the user accounts in the fabrikam.com domain to Group1.</p><p>What should you do?</p>;;;Assign the Domain Controllers group in fabrikam.com permissions to Group1.;Modify the scope of Group1 to Universal.;Raise the domain functional level contoso.com to Windows Server 2016.;Raise the domain functional level of fabriakm.com Windows Server 2016.;Change Group1 to a distribution group;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2016. The computer account for Server1 is in organizational unit (OU) named OU1.</p><p>You create a Group Policy object (GPO) named GPO1 and link GPO1 to OU1.</p><p>You need to add a domain user named User1 to the local Administrators group on Server1.</p><p>Solution: From a domain controller, you run the Set-AdComputer cmdlet.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>The Set-AdComputer cmdlet modifies an Active Directory computer object. It will not allow you to add a domain user to a local Administrators group.</p><a href='https://technet.microsoft.com/es-es/library/hh852268(v=wps.620).aspx'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2016. The computer account for Server1 is in organizational unit (OU) named OU1.</p><p>You create a Group Policy object (GPO) named GPO1 and link GPO1 to OU1.</p><p>You need to add a domain user named User1 to the local Administrators group on Server1.</p><p>Solution: From the Computer Configuration node of GPO1, you configure the Local Users and Groups preference.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>Explanation:</p><p>to add uses to the Local Administrator built In group on all the computers using Group Policy, open group policy editor and create or edit existing GPO. Go to User Configuration -> Preferences -> Control Panel Settings -> Local users and groups.</p><a href='https://www.ntweekly.com/2015/01/10/how-to-add-users-to-local-admin-group-using-group-policy-windows-server-2012/'>Link</a>;A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2016. The computer account for Server1 is in organizational unit (OU) named OU1.</p><p>You create a Group Policy object (GPO) named GPO1 and link GPO1 to OU1.</p><p>You need to add a domain user named User1 to the local Administrators group on Server1.</p><p>Solution: From the Computer Configuration node of GPO1, you configure the Account Policies settings.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>Explanation:</p><p>Account Lockout Policy settings encapsulates Password Policy, Account Lockout Policy, and Kerberos Policy. It will not allow you to add a domain user to a local Administrators group.</p><a href='https://technet.microsoft.com/pt-pt/library/cc757692(v=ws.10).aspx'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com. The domain contains a server named Server1 that runs Windows Server 2016.</p><p>The Computer account for Server1 is in organizational unit (OU) named OU1.</p><p>You create a Group Policy object (GPO) named GPO1 and link GPO1 to OU1.</p><p>You need to add a domain user named User1 to the local Administrators group on Server1.</p><p>Solution: From the Computer Configuration node of GPO1, you configure the Restricted Groups settings.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>All users are in an organizational unit (OU) named Corp_Users.</p><p>You plan to modify the description of all the users who have a string of 514 in their mobile phone number.</p><p>You need to view a list of the users that will be modified.</p><p>What should you run?</p>;;;Get-ADOrganizationalUnit-Filter “mobilePhone-Like ‘*514*’ ”;Get-ADUser-LDAPFilter “(mobilePhone= ‘*514*’)”;Get-ADUser-Filter “mobilePhone-Like ‘*514*’ ”;Get-ADOrganizationalUnit-LDAPFilter “(mobilePhone= ‘*514*’)”;;;;;C;;;;1.0;;;
;;<p>Your network contains an Active Directory domain. The domain contains a computer named Computer1 and an organizational unit (OU) named TestOU. TestOU contains 10 computer accounts that are used for testing. A Group Policy object (GPO) named GPO1 is linked to TestOU.</p><p>On Computer1, you modify the User Right Assignment by using the local policy.</p><p>You need to apply the User Right Assignment from Computer1 to the 10 test computers.</p><p>What should you do?</p>;;;On Computer1 run the secedit.exe command and specify the /export parameter. Edit GPO1, and then import a security template.;On Computer1, run the gpresult.exe command and specify the /x parameter. Edit GPO1, and then import a security template.;On Computer1, run the secedit.exe command and specify the /export parameter. From Group Policy Management, run the Import Settings Wizard.;On Computer1, run the gpresult.exe command and specify the /x parameter. From Group Policy Management, run the Restore Group Policy Object Wizard.;;;;;A;;;;1.0;;;
;;<p>Your network contains a single-domain Active Directory forest named contoso. com. The forest functional level is Windows Server 2016. The forest has Dynamic Access Control enabled. The domain contains two domain controllers named DC1 and DC2. Privileged user accounts used to manage Active Directory reside in a group named Contoso\AD_Admins.</p><p>You create an authentication policy named Policy1 and an authentication policy silo named Silo1.</p><p>You need to ensure that the accounts in the Contoso\AD_Admins group can sign in to the domain controllers only.</p><p>Which three configurations should you perform? Each correct answer presents part of the solution.</p><p>NOTE: Each correct selection is worth one point.</p>;;multiple choice;Create an access control condition in Policy1.;Create a managed service account and add the account to Permitted Accounts in Silo1.;Add the domain controllers to the Contoso\AD_Admins group.;Add the privileged user accounts and the domain controllers to Permitted Accounts in Silo1.;Assign Silo1 to the privileged user accounts and the domain controllers.;;;;ADE;;;;1.0;1.0;1.0;
;;<p>Your network contains an Active Directory domain.</p><p>You have a user account that is a member of the Domain Admins group.</p><p>You have 100 laptops that have a standard corporate image installed. The laptops are in workgroups and have random names.</p><p>A technician named Tech1 is assigned the task of joining the laptops to the domain. The computer accounts of each laptop must be in an organizational unit (OU) that is associated to the department of the user who will use the laptop. The laptop names must start with four characters indicating the department, followed by a four-digit number.</p><p>Tech1 is a member of the Domain Users group only. Tech1 has the administrator logon credentials for all the laptops.</p><p>You need Tech1 to join the laptops to the domain. The solution must ensure that the laptops are named correctly, and the computer accounts of the laptops are in the correct OUs.</p><p>Solution: You instruct Tech1 to sign in to each laptop, to rename each laptop by using System in Control Panel, and then to join each laptop to the domain by using the Netdom join command.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;"<p>When using netdom join command, the computer account is created by Tech1 and recorded into AD domain, a quota is deducted.</p><a href='http://support.microsoft.com/kb/243327/en-us'>Link</a><p>Default limit to number of workstations a user can join to the domain is 10.</p><p>the correct solution is : You script the creation of files for an offline domain join, and then you give the files to Tech1. You instruct Tech1 to sign in to each laptop, and then to run djoin.exe.</p><p>When creating computer accounts by using ""djoin /provision"" command, the computer accounts are created by domain administrator (not Tech1), which has no limitation on the number of computer accounts.</p>";A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain.</p><p>You have a user account that is a member of the Domain Admins group.</p><p>You have 100 laptops that have a standard corporate image installed. The laptops are in workgroups and have random names.</p><p>A technician named Tech1 is assigned the task of joining the laptops to the domain. The computer accounts of each laptop must be in an organizational unit (OU) that is associated to the department of the user who will use the laptop. The laptop names must start with four characters indicating the department, followed by a four-digit number.</p><p>Tech1 is a member of the Domain Users group only. Tech1 has the administrator logon credentials for all the laptops.</p><p>You need Tech1 to join the laptops to the domain. The solution must ensure that the laptops are named correctly, and the computer accounts of the laptops are in the correct OUs.</p><p>Solution: You pre-create the computer account of each laptop in Active Directory Users and Computers.</p><p>You instruct Tech1 to sign in to each laptop, to rename each laptop, and then to join each laptop to the domain by using System in Control Panel.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>A user named User1 is in an organizational unit (OU) named OU1.</p><p>You are troubleshooting a folder access issue for User1.</p><p>You need a list of groups to which User1 is either a direct member or an indirect member.</p><p>Solution: You run Get-ADGroup –Identity User1 –Property MemberOf.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>The Get-ADGroup cmdlet does not include the MemberOf property. The command above is, therefore, not valid.</p><a href='https://docs.microsoft.com/en-us/powershell/module/addsadministration/get-adgroup?view=win10-ps'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>A user named User1 is in an organizational unit (OU) named OU1.</p><p>You are troubleshooting a folder access issue for User1.</p><p>You need a list of groups to which User1 is either a direct member or ab indirect member.</p><p>Solution: You run dsget user cn=User1, ou=OU1, dc=contoso, dc=com –memberof –expand.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;"<p>DSGET displays the properties of a user in the directory. There are two variations of this command. The first variation displays the properties of multiple users. The second variation displays the group membership information of a single user.</p><p>To show the list of groups, recursively expanded, to which the user Mike Danseglio belongs, type:</p><p>dsget user ""CN=Mike Danseglio,CN=users,dc=ms,dc=tld"" -memberof –expand</p><a href='https://docs.microsoft.com/en-us/previous-versions/windows/it-pro/windows-server-2008-R2-and-2008/cc732535%28v%3dws.10%29'>Link</a>";A;;;;1.0;;;
;;<p>Your network contains an Active Directory domain named contoso.com.</p><p>A user named User1 is in an organizational unit (OU) named OU1.</p><p>You are troubleshooting a folder access issue for User1.</p><p>You need a list of groups to which User1 is either a direct member or an indirect member.</p><p>Solution: You instruct User 1 to sign in and run whoami.exe/groups.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<a href='https://www.thewindowsclub.com/whoami-windows'>Link</a>;A;;;;1.0;;;
;;<p>You create a user account that will be used as a template for new user accounts.</p><p>Which setting will be copied when you copy the user account from Active Directory Users and Computers?</p>;;;the Department attribute;the Description attribute;Permission;Remote Desktop Services Profile;the User logon name attribute ;Published Certificates ;the Office attribute ;<p>Explanation:</p><p>A user template in Active Directory can be used if you are creating users for a specific department, with exactly the same properties, and membership to the same user groups. A user template is nothing more than a disabled user account that has all these settings already in place.</p><p>www.rebeladmin.com/2014/07/create-users-with-user-templates-in-ad/</p>;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest.</p><p>Some users report experiencing difficulties signing in to domain controllers. You suspect that the service location (SRV) records might be causing the issue.</p><p>What are two possible commands that you can run to verify the SRV records? Each correct answer presents a complete solution.</p><p>NOTE: Each correct selection is worth one point.</p>;;multiple choice;dnscmd /DirectoryPartitionInfo;dcdiag.exe /test:DNS;dcdiag.exe /test:connectivity;dnscmd /IpValidate;dcdiag.exe /test:DnsRecordRegistration;dnscmd /info;;;CE;;;;1.0;1.0;;
;;<p>Your company has multiple branch offices.</p><p>The network contains an Active Directory domain named contoso.com.</p><p>In one of the branch offices, a new technician is hired to add computers to the domain.</p><p>After successfully joining multiple computers to the domain, the technician fails to join any more computers to the domain.</p><p>You need to ensure that the technician can join an unlimited number of computers to the domain.</p><p>What should you do?</p>;;;Run the Delegation of Control Wizard on the Computers container.;Run the redircmp.exe command.;Modify the Security settings of the technician’s user account.;Add the technician to the Windows Authorization Access group.;Configure the technician’s user account as a manager service account.;Run the Set-ADComputer cmdlet.;Add the technician to the Domain Computers group.;<a href='https://www.itprotoday.com/active-directory/delegating-privileges-active-directory'>Link</a>;A;;;;1.0;;;
;;<p>You create a user account that will be used as a template for new user accounts.</p><p>Which setting will be copied when you copy the user account from Active Directory Users and Computers?</p>;;;Published Certificates;the Member of attribute;the Office attribute;the Description attribute;Permissions;Remote Desktop Services Profile;;<a href='http://www.rebeladmin.com/2014/07/create-users-with-user-templates-in-ad/'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains two Active Directory forests named fabrikam.com and contoso.com. Each forest contains two sites. Each site contains two domain controllers.</p><p>You need to configure all the domain controllers in both the forests as global catalog servers.</p><p>Which snap-in should you use?</p>;;;Active Directory Users and Computers;Active Directory Sites and Services;Active Directory Domains and Trusts;Active Directory Federation Services;;;;;B;;;;1.0;;;
;;"<p>Your network contains the Active Directory forests and domains shown in the following table:</p><img src='https://start.opensourceexams.org/exams/70-742/images/image3.jpg' style='max-width: 100%;'><p>A two-way forest trust exists between ForestA and ForestB. </p><p>Each domain in ForestB contains user accounts that are used to manage servers. </p><p>You need to ensure that the user accounts used to manage the servers in ForestB are members of the Server Operators in ForestA. </p><p>Solution: In DomainBRoot, you add the users to the Server Operators group. You modify the membership of the Server Operators in ForestA. </p><p>Does this meet the goal?</p>";;;Yes;No;;;;;;<a href='https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/active-directory-security-groups#bkmk-serveroperators'>Link</a>;B;;;;1.0;;;
;;"<p>Your network contains the Active Directory forests and domains shown in the following table:</p><img src='https://start.opensourceexams.org/exams/70-742/images/image3.jpg' style='max-width: 100%;'><p>A two-way forest trust exists between ForestA and ForestB. </p><p>Each domain in ForestB contains user accounts that are used to manage servers. </p><p>You need to ensure that the user accounts used to manage the servers in ForestB are members of the Server Operators in ForestA. </p><p>Solution: In each domain in ForestB, you create a global group that contains the user accounts of the respective domain. You create a universal group in DomainBRoot. You add the new global groups to the new universal group. You modify the membership of the Server Operators in ForestA.</p><p>Does this meet the goal?</p>";;;Yes ;No ;;;;;;<a href='https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/active-directory-security-groups#bkmk-serveroperators'>Link</a>;A;;;;1.0;;;
;;"<p>Your network contains the Active Directory forests and domains shown in the following table. </p><img src='https://start.opensourceexams.org/exams/70-742/images/image4.jpg' style='max-width: 100%;'><p>A two-way forest trust exists between ForestA and ForestB. Each domain in ForestB contains user accounts that are used to manage servers. You need to ensure that the user accounts used to manage the servers in ForestB are members of the server Operators groups in ForestA. </p><p>Solution: In each domain in ForestB, you add the users to the Server Operators group. You modify the membership of the Server Operations in ForestA. </p><p>Does this meet the goal?</p>";;;Yes;No;;;;;;<a href='https://docs.microsoft.com/en-us/windows/security/identity-protection/access-control/active-directory-security-groups#bkmk-serveroperators'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains two domains named contoso.com and fabrikam.com. The functional level of the forest and the domains is Windows Server 2008 R2.</p><p>You have a global group named Group1 in the contoso.com domain. Group1 contains the user accounts in contoso.com.</p><p>You need to ensure that you can add the user accounts in the fabrikam.com domain to Group1.</p><p>What should you do?</p>;;;Raise the domain functional level of fabrikam.com to Windows Server 2016;Modify the scope of Group1 to Domain local;Assign the Domain Controllers group in fabrikam.com permissions to Group1;Run the Set-LocalGroup cmdlet;Change Group1 to a distribution group;Raise the domain functional level of contoso.com to Windows Server 2016;In both domains, run the adprep.exe command and specify the /domainprep parameter ;<p>A domain local group can have a universal group as a member.  A universal group can have users or global groups from any domain in the forest as a member. To adhere to Microsoft best practice, we should add the Fabrikam.com users to a global group in the Fabrikam.com domain.  Add the global group to a universal group.  Convert Group1 to a domain local group and add the universal group to Group1.</p><a href='https://www.netwrix.com/active_directory_group_management.html'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com.</p><p>You need to identify which server is the schema master.</p><p>Solution: You open Active Directory Users and Computers, right-click contoso.com in the console tree, and then click Operations Master.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>You need to use the Schema snap-in to find the schema master. The Schema snap-in is not installed by default but can be installed by using Schmmgmt.dll.</p><a href='https://www.petri.com/determining_fsmo_role_holders'>Link</a>;B;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com.</p><p>You need to identify which server is the schema master.</p><p>Solution: From Windows PowerShell, you run Get-ADDomainController –Discover –Service 2.</p><p>Does this meet the goal?</p>;;;Yes;No;;;;;;<p>This command gets a global catalog in the current forest using Discovery.</p><a href='https://docs.microsoft.com/en-us/powershell/module/addsadministration/get-addomaincontroller?view=win10-ps'>Link</a>;B;;;;1.0;;;
;;"<p>You work for a company named Contoso, Ltd.</p><p>The network contains an Active Directory forest named contoso.com. A forest trust exists between contoso.com and an Active Directory forest named adatum.com.</p><p>The contoso.com forest contains the objects configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image2.jpg' style='max-width: 100%;'><p>Group1 and Group2 contain only user accounts.</p><p>Contoso hires a new remote user named User3. User3 will work from home and will use a computer named Computer3 that runs Windows 10. Computer3 is currently in a workgroup.</p><p>An administrator named Admin1 is a member of the Domain Admins group in the contoso.com domain.</p><p>From Active Directory Users and Computers, you create an organizational unit (OU) named OU1 in the contoso.com domain, and then you create a contact named Contact1 in OU1.</p><p>An administrator of the adatum.com domain runs the Set-ADUser cmdlet to configure a user named User1 to have a user logon name of User1@litwareinc.com.</p><p>Admin1 attempts to delete OU1 and receives an error message.</p><p>You need to ensure that Admin1 can delete OU1.</p><p>What should you do first?</p>";;;Modify the Object settings for OU1;Add Admin1 to the Enterprise Admins group;Delete Contact1;Disable the Active Directory Recycle Bin;;;;<a href='https://www.dtonias.com/access-denied-delete-move-ou-active-directory/'>Link</a>;A;;;;1.0;;;
;;<p>Your network contains an Active Directory forest named contoso.com.</p><p>Your company plans to hire 500 temporary employees for a project that will last 90 days.</p><p>You create a new user account for each employee. An organizational unit (OU) named Temp contains the user accounts for the employees.</p><p>You need to prevent the new users from accessing any of the resources in the domain after 90 days.</p><p>What should you do?</p>;;;Run the Get-ADOrganizationalUnit cmdlet and pipe the output to the Set-Date cmdlet.;Run the Get-ADOrganizationalUnit cmdlet and pipe the output to the Set-ADAccountPassword cmdlet.;Run the Get-ADUser cmdlet and pipe the output to the Set-ADAccountExpiration cmdlet.;Create a Group Policy object (GPO) and link the GPO to the Temp OU. Modify the Account Lockout Policy of the GPO.;;;;<a href='https://docs.microsoft.com/en-us/powershell/module/addsadministration/set-adaccountexpiration?view=win10-ps'>Link</a>;C;;;;1.0;;;
;;<p>Your network contains an Active Directory forest. The forest contains a forest root domain named contoso.com and a child domain named eu.contoso.com. Each domain contains two domain controllers that run Windows Server 2012 R2.</p><p>The forest functional level is Windows Server 2008 R2. The domain functional level of contoso.com is Windows Server 2012 R2. The domain functional level of eu.contoso.com is Windows Server 2008 R2.</p><p>You need to raise the domain functional level of contoso.com to Windows Server 2016. The solution must minimize administrative effort.</p><p>What should you do before you raise the domain functional level?</p>;;;Raise the forest functional level;Upgrade all of the domain controllers in the forest;Upgrade all of the domain controllers in contoso.com;Raise the domain functional level of eu.contoso.com;;;;<a href='https://docs.microsoft.com/en-us/windows-server/identity/ad-ds/active-directory-functional-levels'>Link</a>;C;;;;1.0;;;
;;"<p>You work for a company named Contoso, Ltd.</p><p>The network contains an Active Directory forest named contoso.com. A forest trust exists between contoso.com and an Active Directory forest named adatum.com.</p><p>The contoso.com forest contains the objects configured as shown in the following table.</p><img src='https://start.opensourceexams.org/exams/70-742/images/image2.jpg' style='max-width: 100%;'><p>Group1 and Group2 contain only user accounts.</p><p>Contoso hires a new remote user named User3. User3 will work from home and will use a computer named Computer3 that runs Windows 10. Computer3 is currently in a workgroup.</p><p>An administrator named Admin1 is a member of the Domain Admins group in the contoso.com domain.</p><p>From Active Directory Users and Computers, you create an organizational unit (OU) named OU1 in the contoso.com domain, and then you create a contact named Contact1 in OU1.</p><p>An administrator of the adatum.com domain runs the Set-ADUser cmdlet to configure a user named User1 to have a user logon name of User1@litwareinc.com.</p><p>You need to ensure that User1 can back up the data stored on Computer1. The solution must prevent the user from restoring the data on Computer1.</p><p>What should you do?</p>";;;Add User1 to the Backup Operators group of the domain;Modify the Security Settings of the local Group Policy on Computer1;Add User1 to the Power Users group on Computer1;Add User1 to the Backup Operators group on Computer1;;;;<a href='https://docs.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/back-up-files-and-directories'>Link</a>;B;;;;1.0;;;
